Date,Bull,Neutral,Bear
6-17-21,0.411215,0.327103,0.261682
6-10-21,0.402256,0.390977,0.206767
6-3-21,0.440729,0.361702,0.197568
5-27-21,0.364286,0.371429,0.264286
5-20-21,0.370253,0.367089,0.262658
5-13-21,0.365188,0.365188,0.269625
5-6-21,0.443137,0.32549,0.231373
4-29-21,0.425676,0.317568,0.256757
4-22-21,0.526814,0.268139,0.205047
4-15-21,0.538206,0.215947,0.245847
4-8-21,0.569079,0.226974,0.203947
4-1-21,0.458333,0.309524,0.232143
3-25-21,0.509494,0.28481,0.205696
3-18-21,0.489437,0.274648,0.235915
3-11-21,0.494118,0.270588,0.235294
3-4-21,0.402597,0.344156,0.253247
2-25-21,0.459283,0.302932,0.237785
2-18-21,0.470588,0.275542,0.25387
2-11-21,0.454545,0.282828,0.262626
2-4-21,0.373529,0.270588,0.355882
1-28-21,0.376623,0.24026,0.383117
1-21-21,0.425466,0.229814,0.34472
1-7-21,0.4519,0.2308,0.3173
12-31-20,0.460784,0.271242,0.267974
12-24-20,0.435685,0.344398,0.219917
12-17-20,0.434263,0.302789,0.262948
12-10-20,0.480565,0.250883,0.268551
12-3-20,0.490706,0.282528,0.226766
11-27-20,0.472527,0.252747,0.274725
11-19-20,0.443515,0.292887,0.263598
11-12-20,0.558376,0.192893,0.248731
11-5-20,0.37963,0.305556,0.314815
10-29-20,0.352941,0.294118,0.352941
10-22-20,0.357466,0.312217,0.330317
10-15-20,0.347826,0.294686,0.357488
10-8-20,0.347418,0.262911,0.389671
10-1-20,0.262376,0.306931,0.430693
9-24-20,0.248945,0.291139,0.459916
9-17-20,0.320197,0.275862,0.403941
9-10-20,0.237113,0.278351,0.484536
9-3-20,0.308017,0.274262,0.417722
8-27-20,0.320755,0.283019,0.396226
8-20-20,0.303887,0.272085,0.424028
8-13-20,0.300366,0.278388,0.421245
8-6-20,0.232877,0.291096,0.476027
7-30-20,0.20229,0.312977,0.484733
7-23-20,0.260563,0.271127,0.46831
7-16-20,0.30837,0.237885,0.453744
7-9-20,0.271552,0.301724,0.426724
